"CrimeTypeID","CrimeType"
"101","Abuso de Confianza"
"102","Daño a la Propiedad"
"103","Despojo"
"104","Extorsión"
"105","Fraude"
"106","Robo"
"107","Otros Delitos contra el Patrimonio"
"201","Incumplimiento de Obligaciones de Asistencia Familiar"
"202","Violencia de Genero en Todas sus Modalidades Distinta a la Violencia Familiar"
"203","Violencia Familiar"
"204","Otros delitos contra la familia"
"301","Abuso Sexual"
"302","Acoso Sexual"
"303","Hostigamiento Sexual"
"304","Incesto"
"305","Violación Equipada"
"306","Violación Simple"
"307","Otros Delitos que Atenta contra la Libertad y la Seguridad Sexual"
"401","Corrupción de Menores"
"402","Trata de Personas"
"403","Otros Delitos contra la Sociedad"
"501","Aborto"
"502","Feminicidio"
"503","Homicidio"
"504","Lesiones"
"505","Otros Delitos que atentan contra la Libertad Personal"
"601","Rapto"
"602","Secuestro"
"603","Tráfico de Menores"
"604","Otros delitos que Atentan contra la libertad personal"
"701","Allanamiento de Morada"
"702","Amenazas"
"703","Contra el Medio Ambiente"
"704","Delitos Cometidos por Servidores Públicos"
"705","Electorales"
"706","Evasión de Presos"
"707","Falsedad"
"708","Falsificación"
"709","Narcomenudeo"
"710","Otros Delitos del Fuero Común"
